object_type,difference,object,category,blocker,assessment
schemas,staging_only,dv_collect_private,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
schemas,staging_only,dv_market_private,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
schemas,staging_only,net,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
schemas,staging_only,battle_spectator_private,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
schemas,staging_only,cron,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
schemas,staging_only,battle_spectator_media_private,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_pickup_handovers,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_threads,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_payment_attempts,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,battle_spectator_media_private.revocations_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,public.market_notification_sync_state,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_account_audit,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_tax_identifiers,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_withdrawal_drafts,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.data_retention_rules,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_refund_requests,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.marketplace_compliance_policy,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_financial_documents,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_fulfillments,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.account_deletion_requests,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_review_actions_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.user_data_export_events,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_tax_export_rows,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_declarations,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_tax_export_rows_id_seq,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_cases,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_legal_profiles,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_payment_configuration,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_stripe_onboarding_requests,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.listing_notice_appeals,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_invoice_authorizations,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_revisions,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,public.market_seller_accounts,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.listing_notices,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.marketplace_message_delivery_events,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_confirmations,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.market_swap_shipping_addresses,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.marketplace_message_outbox,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.account_data_rights_audit,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
relations,staging_only,dv_market_private.seller_review_actions,1,P0-01,Noch nicht nach Production übernommener Staging-Stack; exakte Migration/Abhängigkeit vor Rollout manifestieren.
