schema,signature,role,allowed
battle_spectator_media_private,"battle_spectator_media_private.close_epoch(uuid,text)",anon,False
battle_spectator_media_private,"battle_spectator_media_private.close_epoch(uuid,text)",authenticated,False
battle_spectator_media_private,"battle_spectator_media_private.close_epoch(uuid,text)",service_role,False
battle_spectator_media_private,battle_spectator_media_private.sync_epoch(uuid),anon,False
battle_spectator_media_private,battle_spectator_media_private.sync_epoch(uuid),authenticated,False
battle_spectator_media_private,battle_spectator_media_private.sync_epoch(uuid),service_role,False
battle_spectator_private,battle_spectator_private.eligible(uuid),anon,False
battle_spectator_private,battle_spectator_private.eligible(uuid),authenticated,False
battle_spectator_private,battle_spectator_private.eligible(uuid),service_role,False
battle_spectator_private,battle_spectator_private.actor_session(boolean),anon,False
battle_spectator_private,battle_spectator_private.actor_session(boolean),authenticated,False
battle_spectator_private,battle_spectator_private.actor_session(boolean),service_role,False
battle_spectator_private,"battle_spectator_private.authorized(uuid,uuid)",anon,False
battle_spectator_private,"battle_spectator_private.authorized(uuid,uuid)",authenticated,False
battle_spectator_private,"battle_spectator_private.authorized(uuid,uuid)",service_role,False
battle_spectator_private,battle_spectator_private.viewer_count(uuid),anon,False
battle_spectator_private,battle_spectator_private.viewer_count(uuid),authenticated,False
battle_spectator_private,battle_spectator_private.viewer_count(uuid),service_role,False
battle_spectator_private,battle_spectator_private.snapshot(uuid),anon,False
battle_spectator_private,battle_spectator_private.snapshot(uuid),authenticated,False
battle_spectator_private,battle_spectator_private.snapshot(uuid),service_role,False
battle_spectator_private,battle_spectator_private.guard_match_write(),anon,False
battle_spectator_private,battle_spectator_private.guard_match_write(),authenticated,False
battle_spectator_private,battle_spectator_private.guard_match_write(),service_role,False
dv_collect_private,dv_collect_private.delete_empty_binder(uuid),anon,False
dv_collect_private,dv_collect_private.delete_empty_binder(uuid),authenticated,True
dv_collect_private,dv_collect_private.delete_empty_binder(uuid),service_role,False
dv_market_private,"dv_market_private.market_tax_export_dataset(integer,integer)",anon,False
