schema,name,role,privilege,allowed
battle_spectator_media_private,config,anon,DELETE,False
battle_spectator_media_private,config,anon,INSERT,False
battle_spectator_media_private,config,anon,MAINTAIN,False
battle_spectator_media_private,config,anon,REFERENCES,False
battle_spectator_media_private,config,anon,SELECT,False
battle_spectator_media_private,config,anon,TRIGGER,False
battle_spectator_media_private,config,anon,TRUNCATE,False
battle_spectator_media_private,config,anon,UPDATE,False
battle_spectator_media_private,config,authenticated,DELETE,False
battle_spectator_media_private,config,authenticated,INSERT,False
battle_spectator_media_private,config,authenticated,MAINTAIN,False
battle_spectator_media_private,config,authenticated,REFERENCES,False
battle_spectator_media_private,config,authenticated,SELECT,False
battle_spectator_media_private,config,authenticated,TRIGGER,False
battle_spectator_media_private,config,authenticated,TRUNCATE,False
battle_spectator_media_private,config,authenticated,UPDATE,False
battle_spectator_media_private,config,service_role,DELETE,False
battle_spectator_media_private,config,service_role,INSERT,False
battle_spectator_media_private,config,service_role,MAINTAIN,False
battle_spectator_media_private,config,service_role,REFERENCES,False
battle_spectator_media_private,config,service_role,SELECT,False
battle_spectator_media_private,config,service_role,TRIGGER,False
battle_spectator_media_private,config,service_role,TRUNCATE,False
battle_spectator_media_private,config,service_role,UPDATE,False
battle_spectator_media_private,consents,anon,DELETE,False
battle_spectator_media_private,consents,anon,INSERT,False
battle_spectator_media_private,consents,anon,MAINTAIN,False
battle_spectator_media_private,consents,anon,REFERENCES,False
battle_spectator_media_private,consents,anon,SELECT,False
battle_spectator_media_private,consents,anon,TRIGGER,False
battle_spectator_media_private,consents,anon,TRUNCATE,False
battle_spectator_media_private,consents,anon,UPDATE,False
battle_spectator_media_private,consents,authenticated,DELETE,False
battle_spectator_media_private,consents,authenticated,INSERT,False
battle_spectator_media_private,consents,authenticated,MAINTAIN,False
battle_spectator_media_private,consents,authenticated,REFERENCES,False
battle_spectator_media_private,consents,authenticated,SELECT,False
battle_spectator_media_private,consents,authenticated,TRIGGER,False
battle_spectator_media_private,consents,authenticated,TRUNCATE,False
battle_spectator_media_private,consents,authenticated,UPDATE,False
battle_spectator_media_private,consents,service_role,DELETE,False
battle_spectator_media_private,consents,service_role,INSERT,False
battle_spectator_media_private,consents,service_role,MAINTAIN,False
battle_spectator_media_private,consents,service_role,REFERENCES,False
battle_spectator_media_private,consents,service_role,SELECT,False
battle_spectator_media_private,consents,service_role,TRIGGER,False
battle_spectator_media_private,consents,service_role,TRUNCATE,False
battle_spectator_media_private,consents,service_role,UPDATE,False
battle_spectator_media_private,epochs,anon,DELETE,False
battle_spectator_media_private,epochs,anon,INSERT,False
battle_spectator_media_private,epochs,anon,MAINTAIN,False
battle_spectator_media_private,epochs,anon,REFERENCES,False
battle_spectator_media_private,epochs,anon,SELECT,False
